Common Name,Scientific Name,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Total
Apostlebird,Struthidea cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
Australasian Swamphen,Porphyrio melanotus,0,0,1,1,1,0,2,2,24,20,3,10,0,0,0,1,1,2,2,0,0,1,3,0,2,0,7,0,3,6,0,92
Australian Ibis,Threskiornis molucca,1,0,0,7,5,1,9,3,23,28,6,21,3,1,0,1,1,4,1,10,0,11,7,0,0,2,7,0,1,1,2,156
Australian King-Parrot,Alisterus scapularis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
Australian Magpie,Gymnorhina tibicen,1,203,577,403,352,331,301,149,691,500,458,567,64,380,464,666,355,210,409,516,527,583,153,256,496,487,216,9,149,199,156,10828
Australian Owlet-nightjar,Aegotheles cristatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australian Raven,Corvus coronoides,3,1,6,0,73,48,2,15,7,10,5,21,3,34,28,14,15,6,88,8,12,20,8,18,34,129,29,0,29,53,34,753
Barn Owl,Tyto alba,0,1,0,2,1,3,0,3,7,1,5,1,0,8,13,0,5,2,1,1,1,0,0,3,0,0,1,0,0,1,0,60
Bell Miner,Manorina melanophrys,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
Black-faced Cuckooshrike,Coracina novaehollandiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Brown Thornbill,Acanthiza pusilla,0,39,33,0,6,1,0,0,11,2,1,0,0,6,8,0,0,4,5,3,3,3,9,26,8,5,69,1,9,2,1,255
Buff-rumped Thornbill,Acanthiza reguloides,0,1,5,0,0,0,0,0,19,5,0,0,0,5,21,0,4,13,1,8,1,0,6,0,1,12,35,0,27,8,0,172
Bushtit,Psaltriparus minimus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4
Caspian Tern,Hydroprogne caspia,0,0,1,4,5,0,0,0,0,2,0,0,0,0,3,0,0,3,2,0,1,1,0,2,1,0,0,0,0,0,1,26
Channel-billed Cuckoo,Scythrops novaehollandiae,0,1,4,2,13,12,4,0,7,10,7,7,0,1,3,15,7,2,6,21,1,2,2,1,2,4,4,0,1,1,2,142
Common Bronzewing,Phaps chalcoptera,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,1,0,6,0,0,0,0,0,15
Crimson Rosella,Platycercus elegans,0,0,0,0,0,3,1,0,9,4,1,10,0,0,49,1,0,0,10,6,2,8,7,2,0,1,0,0,0,0,0,114
Dog,Dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Double-barred Finch,Stizoptera bichenovii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Rosella,Platycercus eximius,0,0,0,1,1,0,0,0,14,10,1,17,0,0,13,2,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,70
Eastern Spinebill,Acanthorhynchus tenuirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Eurasian Blackbird,Turdus merula,1,1,5,3,4,7,3,0,2,5,7,7,0,0,4,2,3,1,3,1,2,2,4,9,2,6,3,0,0,0,0,87
Eurasian Coot,Fulica atra,0,0,1,0,3,3,5,0,1,2,3,3,0,3,7,3,2,0,4,1,6,3,0,4,0,4,1,0,0,1,0,60
European Goldfinch,Carduelis carduelis,1,5,1,0,5,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,20
European Starling,Sturnus vulgaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4
Flame Robin,Petroica phoenicea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Galah,Eolophus roseicapilla,0,0,0,14,4,5,15,0,1,2,12,4,6,2,0,13,0,5,12,11,35,12,2,4,3,4,5,0,0,5,4,180
